publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Agroecology and Sustainable Food Systems	2168-3565	2168-3573	2013-01	37	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wjsa21		wjsa21		fulltext		Taylor & Francis	Serial							10.1080/wjsa20	P
Al-Masāq	0950-3110	1473-348X	2002-03	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=calm20		calm20		fulltext		Routledge	Serial								P
Alcheringa: An Australasian Journal of Palaeontology	0311-5518	1752-0754	1975-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=talc20		talc20		fulltext		Taylor & Francis	Serial								P
Alcoholism Treatment Quarterly	0734-7324	1544-4538	1997-02	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=watq20		watq20		fulltext		Routledge	Serial								P
American Communist History	1474-3892	1474-3906	2002-06	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rach20		rach20		fulltext		Routledge	Serial								P
American Foreign Policy Interests	1080-3920	1533-2128	1997-02	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uafp20		uafp20		fulltext		Routledge	Serial							10.1080/uzfp20	P
American Industrial Hygiene Association Journal	0002-8894		1997-01	58	1	1999-11	60	6	http://www.tandfonline.com/openurl?genre=journal&stitle=aiha20		aiha20		fulltext		Taylor & Francis	Serial							10.1080/aihq20	P
American Journal of Clinical Hypnosis	0002-9157	2160-0562	1997-01	39	3				http://www.tandfonline.com/openurl?genre=journal&stitle=ujhy20		ujhy20		fulltext		Routledge	Serial								P
American Journal of Distance Education	0892-3647	1538-9286	1997-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hajd20		hajd20		fulltext		Routledge	Serial								P
American Journal of Electroneurodiagnostic Technology	1086-508X	2375-8619	1997-03	37	1				http://www.tandfonline.com/openurl?genre=journal&stitle=utnj19		utnj19		fulltext		Routledge	Serial							10.1080/utnj18	P
American Journal of Health Education	1932-5037	2168-3751	2001-02	32	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ujhe20		ujhe20		fulltext		Routledge	Serial							10.1080/ujhe19	P
American Journal of Pastoral Counseling	1094-6098		1997-11	1	1	2006-02	8	3-4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzaj20		wzaj20		fulltext		Taylor & Francis	Serial								P
American Journal of Psychiatric Rehabilitation	1548-7768	1548-7776	2004-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uapr20		uapr20		fulltext		Routledge	Serial							10.1080/uzpr20	P
American Journal of Sexuality Education	1554-6128	1554-6136	2005-12	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wajs20		wajs20		fulltext		Routledge	Serial								P
American Journalism	0882-1127	2326-2486	1997-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uamj20		uamj20		fulltext		Routledge	Serial								P
American Nineteenth Century History	1466-4658	1743-7903	2000-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fanc20		fanc20		fulltext		Routledge	Serial								P
American Review of Canadian Studies	0272-2011	1943-9954	1997-03	27	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rarc20		rarc20		fulltext		Routledge	Serial								P
Analytical Chemistry Letters	2229-7928	2230-7532	2011-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tacl20		tacl20		fulltext		Taylor & Francis	Serial								P
Analytical Letters	0003-2719	1532-236X	1997-01	30	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lanl20		lanl20		fulltext		Taylor & Francis	Serial								P
Anatolia	1303-2917	2156-6909	1997-10	8	3				http://www.tandfonline.com/openurl?genre=journal&stitle=rana20		rana20		fulltext		Routledge	Serial								P
Angelaki	0969-725X	1469-2899	1997-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cang20		cang20		fulltext		Routledge	Serial								P
Animal Biotechnology	1049-5398	1532-2378	1997-04	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=labt20		labt20		fulltext		Taylor & Francis	Serial								P
Animal Cells and Systems	1976-8354	2151-2485	2008-01	12	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tacs20		tacs20		fulltext		Taylor & Francis	Serial							10.1080/tacs19	P
Annales de la Société entomologique de France (N.S.)	0037-9271	2168-6351	2002-01	38	4				http://www.tandfonline.com/openurl?genre=journal&stitle=tase20		tase20		fulltext		Taylor & Francis	Serial								P
Annals of GIS	1947-5683	1947-5691	2009-11	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tagi20		tagi20		fulltext		Taylor & Francis	Serial							10.1080/tagi19	P
Annals of Leisure Research	1174-5398	2159-6816	1998-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ranz20		ranz20		fulltext		Routledge	Serial								P
Annals of Science	0003-3790	1464-505X	1936-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tasc20		tasc20		fulltext		Taylor & Francis	Serial								P
Annals of the American Association of Geographers	2469-4452	2469-4460	2016-01	106	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raag21		raag21		fulltext		Routledge	Serial							10.1080/raag20	P
Annals of the Association of American Geographers	0004-5608	1467-8306	1997-03	87	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raag20		raag20		fulltext		Routledge	Serial								P
Annual Review of Health Social Science	1036-6733		1997-01	7	1	2000-01	10	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhsr19		rhsr19		fulltext		Routledge	Serial								P
Annual Review of Sex Research	1053-2528		1997-03	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hzsr20		hzsr20		fulltext		Routledge	Serial								P
Anthropological Forum	0066-4677	1469-2902	1997-01	7	4				http://www.tandfonline.com/openurl?genre=journal&stitle=canf20		canf20		fulltext		Routledge	Serial								P
Anthropology & Archeology of Eurasia	1061-1959	1558-092X	1997-04	35	4				http://www.tandfonline.com/openurl?genre=journal&stitle=maae20		maae20		fulltext		Routledge	Serial							10.1080/maae19	P
Anthropology & Medicine	1364-8470	1469-2910	1997-04	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=canm20		canm20		fulltext		Routledge	Serial								P
Anthropology Southern Africa	2332-3256	2332-3264	2004-01	27	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=rasa20		rasa20		fulltext		Routledge	Serial								P
Anthrozoös	0892-7936	1753-0377	1997-03	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfan20		rfan20		fulltext		Routledge	Serial								P
Anxiety, Stress, & Coping	1061-5806	1477-2205	1997-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gasc20		gasc20		fulltext		Routledge	Serial							10.1080/gasc19	P
Aphasiology	0268-7038	1464-5041	1997-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=paph20		paph20		fulltext		Routledge	Serial								P
Applicable Analysis	0003-6811	1563-504X	1997-02	64	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=gapa20		gapa20		fulltext		Taylor & Francis	Serial								P
Applied Artificial Intelligence	0883-9514	1087-6545	1996-02	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uaai20		uaai20		fulltext		Taylor & Francis	Serial								P
Applied Developmental Science	1088-8691	1532-480X	1997-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hads20		hads20		fulltext		Routledge	Serial								P
Applied Economics	0003-6846	1466-4283	1996-01	28	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raec20		raec20		fulltext		Routledge	Serial								P
Applied Economics Letters	1350-4851	1466-4291	1997-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rael20		rael20		fulltext		Routledge	Serial								P
Applied Environmental Education & Communication	1533-015X	1533-0389	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ueec20		ueec20		fulltext		Routledge	Serial								P
Applied Financial Economics	0960-3107	1466-4305	1996-02	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rafe20		rafe20		fulltext		Routledge	Serial								P
Applied Financial Economics Letters	1744-6546	1744-6554	2005-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rafl20		rafl20		fulltext		Routledge	Serial								P
Applied Mathematical Finance	1350-486X	1466-4313	1997-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ramf20		ramf20		fulltext		Routledge	Serial								P
Applied Measurement in Education	0895-7347	1532-4818	1997-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hame20		hame20		fulltext		Routledge	Serial								P
Applied Neuropsychology	0908-4282	1532-4826	1997-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hapn20		hapn20		fulltext		Routledge	Serial								P
Applied Neuropsychology: Adult	2327-9095	2327-9109	2012-01	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hapn21		hapn21		fulltext		Routledge	Serial							10.1080/hapn20	P
Applied Neuropsychology: Child	2162-2965	2162-2973	2012-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hapc20		hapc20		fulltext		Routledge	Serial								P
Applied Spectroscopy Reviews	0570-4928	1520-569X	1997-02	32	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=laps20		laps20		fulltext		Taylor & Francis	Serial								P
Aquaculture Economics & Management	1365-7305	1551-8663	1997-03	1	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=uaqm20		uaqm20		fulltext		Taylor & Francis	Serial								P
Aquatic Ecosystem Health & Management	1463-4988	1539-4077	1998-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uaem20		uaem20		fulltext		Taylor & Francis	Serial								P
Aquatic Insects	0165-0424	1744-4152	1997-01	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=naqi20		naqi20		fulltext		Taylor & Francis	Serial								P
Arabic & Middle Eastern Literature	1366-6169	1469-2929	1998-01	1	1	2001-07	4	2	http://www.tandfonline.com/openurl?genre=journal&stitle=came19		came19		fulltext		Routledge	Serial								P
Arboricultural Journal	0307-1375	2168-1074	1997-02	21	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tarb20		tarb20		fulltext		Taylor & Francis	Serial							10.1080/tarb19	P
Archaeological Journal	0066-5983	2373-2288	1997-01	154	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raij20		raij20		fulltext		Routledge	Serial								P
Architectural Engineering and Design Management	1745-2007	1752-7589	2005-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=taem20		taem20		fulltext		Taylor & Francis	Serial								P
Architectural Science Review	0003-8628	1758-9622	1997-01	40	sup1				http://www.tandfonline.com/openurl?genre=journal&stitle=tasr20		tasr20		fulltext		Taylor & Francis	Serial								P
Architectural Theory Review	1326-4826	1755-0475	2006-04	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ratr20		ratr20		fulltext		Routledge	Serial								P
Architecture and Culture	2050-7828	2050-7836	2013-11	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfac20		rfac20		fulltext		Routledge	Serial								P
Archiv für Tierernaehrung	0003-942X		1997-01	50	1	2002-12	56	6	http://www.tandfonline.com/openurl?genre=journal&stitle=gaan19		gaan19		fulltext		Taylor & Francis	Serial								P
Archives and Manuscripts	0157-6895	2164-6058	2012-03	40	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raam20		raam20		fulltext		Routledge	Serial								P
Archives and Records	2325-7962	2325-7989	2013-04	34	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cjsa21		cjsa21		fulltext		Routledge	Serial							10.1080/cjsa20	P
Archives of Agronomy and Soil Science	0365-0340	1476-3567	1997-02	41	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gags20		gags20		fulltext		Taylor & Francis	Serial								P
Archives of Animal Nutrition	1745-039X	1477-2817	2003-01	57	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gaan20		gaan20		fulltext		Taylor & Francis	Serial							10.1080/gaan19	P
Archives of Environmental & Occupational Health	1933-8244	2154-4700	2005-01	60	1				http://www.tandfonline.com/openurl?genre=journal&stitle=vaeh20		vaeh20		fulltext		Routledge	Serial							10.1080/vzeh20	P
Archives of Environmental Health: An International Journal	0003-9896		1997-01	52	1	2004-12	59	12	http://www.tandfonline.com/openurl?genre=journal&stitle=vzeh20		vzeh20		fulltext		Routledge	Serial								P
Archives of Phytopathology and Plant Protection	0323-5408	1477-2906	1997-02	30	5				http://www.tandfonline.com/openurl?genre=journal&stitle=gapp20		gapp20		fulltext		Taylor & Francis	Serial							10.1080/gapp19	P
Archives of Suicide Research	1381-1118	1543-6136	1997-01	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usui20		usui20		fulltext		Routledge	Serial								P
Argument & Computation	1946-2166	1946-2174	2010-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tarc20		tarc20		fulltext		Taylor & Francis	Serial								P
Arid Land Research and Management	1532-4982	1532-4990	2001-01	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uasr20		uasr20		fulltext		Taylor & Francis	Serial							10.1080/uasr19	P
Arid Soil Research and Rehabilitation	0890-3069		1997-01	11	1	2000-01	14	4	http://www.tandfonline.com/openurl?genre=journal&stitle=uasr19		uasr19		fulltext		Taylor & Francis	Serial								P
Armed Conflict Survey	2374-0973	2374-0981	2015-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tarm20		tarm20		fulltext		Routledge	Serial								P
Ars Disputandi	1566-5399		2001-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rjpt17		rjpt17		fulltext		Routledge	Serial								P
Art Education	0004-3125	2325-5161	1997-01	50	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uare20		uare20		fulltext		Routledge	Serial								P
Art Therapy	0742-1656	2159-9394	1997-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uart20		uart20		fulltext		Routledge	Serial								P
Art in Translation		1756-1310	2009-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfat20		rfat20		fulltext		Routledge	Serial								P
Artificial DNA: PNA & XNA	1949-095X	1949-0968	2010-07	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kdpx20		kdpx20		fulltext		Taylor & Francis	Serial								P
Arts & Health	1753-3015	1753-3023	2009-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rahe20		rahe20		fulltext		Routledge	Serial								P
Arts Education Policy Review	1063-2913	1940-4395	1997-01	98	3				http://www.tandfonline.com/openurl?genre=journal&stitle=vaep20		vaep20		fulltext		Routledge	Serial							10.1080/vzae20	P
Asia Pacific Business Review	1360-2381	1743-792X	1997-03	3	3				http://www.tandfonline.com/openurl?genre=journal&stitle=fapb20		fapb20		fulltext		Routledge	Serial								P
Asia Pacific Journal of Counselling and Psychotherapy	2150-7686	2150-7708	2010-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rapc20		rapc20		fulltext		Routledge	Serial								P
Asia Pacific Journal of Education	0218-8791	1742-6855	1997-01	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cape20		cape20		fulltext		Routledge	Serial							10.1080/cape19	P
Asia Pacific Journal of Social Work and Development	0218-5385	2165-0993	1997-03	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rswd20		rswd20		fulltext		Routledge	Serial								P
Asia Pacific Journal of Sport and Social Science	2164-0599	2164-0602	2012-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rass20		rass20		fulltext		Routledge	Serial								P
Asia Pacific Journal of Tourism Research	1094-1665	1741-6507	1997-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rapt20		rapt20		fulltext		Routledge	Serial								P
Asia-Pacific Journal of Accounting	1029-3574		1997-06	4	1	1999-12	6	2	http://www.tandfonline.com/openurl?genre=journal&stitle=raae19		raae19		fulltext		Routledge	Serial								P
Asia-Pacific Journal of Accounting & Economics	1608-1625	2164-2257	2000-06	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raae20		raae20		fulltext		Routledge	Serial							10.1080/raae19	P
Asia-Pacific Journal of Health, Sport and Physical Education	1837-7122	1837-7130	2010-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rasp20		rasp20		fulltext		Routledge	Serial								P
Asia-Pacific Journal of Teacher Education	1359-866X	1469-2945	1997-03	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=capj20		capj20		fulltext		Routledge	Serial							10.1080/capj19	P
